Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856404930890;403279;0;100;56;47b3054ad0
63856404931790;404205;0;100;58;47b3054ad0
63856404932290;404722;0;100;72;47b3054ad0
63856404934474;406869;0;100;62;47b3054ad0
63856404935290;407622;0;100;66;47b3054ad0
63856404936307;408705;0;100;64;47b3054ad0
63856404937123;409498;0;100;67;47b3054ad0
63856404938323;410671;0;100;63;47b3054ad0
63856404939290;411655;0;100;63;47b3054ad0
63856404941157;413561;0;100;56;47b3054ad0
63856404941857;414221;0;100;64;47b3054ad0
63856404942140;414515;0;100;96;47b3054ad0
63856404942373;414738;0;100;135;47b3054ad0
63856404944389;416764;0;100;112;47b3054ad0
63856404945389;417827;0;100;100;47b3054ad0
63856404945824;418167;0;100;117;47b3054ad0
63856404946623;418961;0;100;108;47b3054ad0
63856404947824;420217;0;100;95;47b3054ad0
63856404948757;421094;0;100;89;47b3054ad0
63856404951040;423444;0;100;75;47b3054ad0
63856404952790;425213;0;100;66;47b3054ad0
63856404954106;426473;0;100;62;47b3054ad0
63856404954823;427240;0;100;66;47b3054ad0
63856404955939;428350;0;100;63;47b3054ad0
63856404957256;429660;0;100;60;47b3054ad0
63856404958156;430589;0;100;61;47b3054ad0
63856404958973;431333;0;100;66;47b3054ad0
63856404959873;432289;0;100;65;47b3054ad0
63856404960389;432746;0;100;80;47b3054ad0
63856404961823;434202;0;100;72;47b3054ad0
63856404962323;434759;0;100;80;47b3054ad0
63856404963056;435439;0;100;82;47b3054ad0
63856404964073;436492;0;100;77;47b3054ad0
63856404964890;437236;0;100;78;47b3054ad0
63856404966323;438695;0;100;70;47b3054ad0
63856404968040;440445;0;100;62;47b3054ad0
63856404969056;441398;0;100;62;47b3054ad0
63856404969756;442185;0;100;66;47b3054ad0
63856404971806;444225;0;100;58;47b3054ad0
63856404972289;444691;0;100;74;47b3054ad0
63856404973406;445758;0;100;70;47b3054ad0
63856404976873;449241;0;100;58;47b3054ad0
63856404978189;450611;0;100;55;47b3054ad0
63856404980722;453057;0;100;49;47b3054ad0
63856404981339;453720;0;100;58;47b3054ad0
63856404982822;455250;0;100;54;47b3054ad0
63856404984139;456493;0;100;53;47b3054ad0
63856404984656;457050;0;100;65;47b3054ad0
63856404985690;458047;0;100;64;47b3054ad0
63856404986889;459290;0;100;61;47b3054ad0
63856404988522;460886;0;100;56;47b3054ad0
63856404991056;463410;0;100;49;47b3054ad0
63856404992389;464760;0;100;48;47b3054ad0
63856404993706;466069;0;100;48;47b3054ad0
63856404995622;468022;0;100;44;47b3054ad0
63856404997355;469776;0;100;42;47b3054ad0
63856405000622;473015;0;100;37;47b3054ad0
63856405000989;473365;0;100;67;47b3054ad0
63856405001922;474275;0;100;67;47b3054ad0
63856405003456;475828;0;100;60;47b3054ad0
63856405005606;477931;0;100;53;47b3054ad0
63856405007322;479711;0;100;49;47b3054ad0
63856405007622;480048;1;100;79;47b3054ad0
63856405008122;480494;1;100;91;47b3054ad0
63856405009956;482291;1;100;79;47b3054ad0
63856405011205;483591;1;100;72;47b3054ad0
63856405011589;483991;1;100;89;47b3054ad0
63856405012088;484471;1;100;98;47b3054ad0
63856405012838;485228;1;100;94;47b3054ad0
63856405014622;487020;1;100;80;47b3054ad0
63856405015172;487580;1;100;87;47b3054ad0
63856405016154;488554;1;100;81;47b3054ad0
63856405016722;489060;1;100;90;47b3054ad0
63856405018022;490380;1;100;80;47b3054ad0
63856405019888;492327;1;100;69;47b3054ad0
63856405020539;492947;1;100;76;47b3054ad0
63856405022322;494690;1;100;67;47b3054ad0
63856405022838;495206;1;100;78;47b3054ad0
63856405023722;496166;1;100;75;47b3054ad0
63856405024388;496697;1;100;83;47b3054ad0
63856405025288;497663;1;100;79;47b3054ad0
63856405025789;498209;1;100;86;47b3054ad0
63856405027655;500026;1;100;74;47b3054ad0
63856405028055;500436;1;100;91;47b3054ad0
63856405028472;500899;1;100;100;47b3054ad0
63856405030338;502689;1;100;85;47b3054ad0
63856405031271;503702;1;100;80;47b3054ad0
63856405032005;504349;1;100;83;47b3054ad0
63856405033638;506035;1;100;72;47b3054ad0
63856405034738;507125;1;100;69;47b3054ad0
63856405035355;507719;1;100;76;47b3054ad0
63856405035855;508195;1;100;87;47b3054ad0
63856405036455;508848;1;100;89;47b3054ad0
63856405036871;509298;1;100;99;47b3054ad0
63856405037492;509862;1;100;101;47b3054ad0
63856405037771;510118;1;100;130;47b3054ad0
63856405038294;510715;1;100;124;47b3054ad0
63856405041422;513811;1;100;101;47b3054ad0
63856405041655;514021;1;100;145;47b3054ad0
63856405041856;514231;1;100;176;47b3054ad0
63856405042459;514844;1;100;159;47b3054ad0
63856405045386;517771;-1;100;128;47b3054ad0
63856405046517;518951;-1;100;111;47b3054ad0
63856405047332;519664;-1;100;105;47b3054ad0
63856405047953;520324;-1;100;102;47b3054ad0
63856405048959;521347;-1;100;93;47b3054ad0
63856405049754;522130;-1;100;89;47b3054ad0
63856405050864;523290;-1;100;81;47b3054ad0
63856405051887;524233;-1;100;77;47b3054ad0
63856405052647;525030;-1;100;77;47b3054ad0
63856405054134;526483;-1;100;69;47b3054ad0
63856405054626;526980;2;100;81;47b3054ad0
63856405055769;528170;2;100;74;47b3054ad0
63856405057691;530093;2;100;65;47b3054ad0
63856405058388;530739;2;100;71;47b3054ad0
63856405063465;535819;2;100;58;47b3054ad0
63856405064167;536516;2;100;65;47b3054ad0
63856405066821;539225;2;100;55;47b3054ad0
63856405067754;540105;2;100;58;47b3054ad0
63856405068055;540402;2;100;90;47b3054ad0
63856405068561;540939;2;100;95;47b3054ad0
63856405069888;542268;2;100;84;47b3054ad0
63856405071321;543735;2;100;75;47b3054ad0
63856405072222;544585;2;100;74;47b3054ad0
63856405082132;554471;2;100;59;47b3054ad0
63856405082829;555257;2;100;63;47b3054ad0
63856405083854;556244;2;100;63;47b3054ad0
63856405084788;557130;2;100;64;47b3054ad0
63856405085982;558377;2;100;61;47b3054ad0
63856405086589;559010;2;100;69;47b3054ad0
63856405089336;561753;2;100;58;47b3054ad0
63856405091167;563510;2;100;53;47b3054ad0
63856405092288;564719;2;100;52;47b3054ad0
63856405092887;565259;2;100;66;47b3054ad0
63856405094437;566843;2;100;60;47b3054ad0
63856405095520;567932;2;100;59;47b3054ad0
63856405096652;569069;2;100;58;47b3054ad0
63856405097264;569662;2;100;68;47b3054ad0
63856405099599;572025;2;100;58;47b3054ad0
63856405101035;573422;2;100;55;47b3054ad0
63856405102121;574562;2;100;55;47b3054ad0
63856405102553;574952;2;100;78;47b3054ad0
63856405105654;577998;2;100;65;47b3054ad0
63856405105848;578268;2;100;100;47b3054ad0
63856405107565;579941;2;100;86;47b3054ad0
63856405108005;580371;2;100;98;47b3054ad0
63856405109088;581521;2;100;88;47b3054ad0
63856405110899;583281;2;100;76;47b3054ad0
63856405111525;583894;2;100;82;47b3054ad0
63856405112820;585224;2;100;74;47b3054ad0
63856405114652;587074;2;100;64;47b3054ad0
63856405114887;587234;2;100;139;47b3054ad0
63856405115586;587980;2;100;126;47b3054ad0
63856405117096;589524;2;100;107;47b3054ad0
63856405118727;591087;-2;100;92;47b3054ad0
63856405119354;591740;-2;100;92;47b3054ad0
63856405120859;593270;-2;100;80;47b3054ad0
63856405122621;594923;-2;100;71;47b3054ad0
63856405124220;596570;-2;100;63;47b3054ad0
63856405125454;597833;-2;100;60;47b3054ad0
63856405126754;599103;-2;100;57;47b3054ad0
63856405127253;599669;-2;100;68;47b3054ad0
63856405128302;600656;-2;100;67;47b3054ad0
63856405129087;601446;3;100;69;47b3054ad0
63856405130700;603122;3;100;62;47b3054ad0
63856405132353;604682;3;100;57;47b3054ad0
63856405134486;606872;3;100;50;47b3054ad0
63856405136180;608605;3;100;47;47b3054ad0
63856405136821;609155;3;100;61;47b3054ad0
63856405137631;609968;3;100;64;47b3054ad0
63856405137928;610335;3;100;86;47b3054ad0
63856405138536;610928;3;100;90;47b3054ad0
63856405139227;611595;3;100;90;47b3054ad0
63856405140054;612488;3;100;85;47b3054ad0
63856405142030;614405;3;100;73;47b3054ad0
63856405142261;614638;3;100;115;47b3054ad0
63856405142853;615248;3;100;112;47b3054ad0
63856405143786;616168;3;100;101;47b3054ad0
63856405144088;616444;3;100;128;47b3054ad0
63856405144392;616751;3;100;144;47b3054ad0
63856405146725;619064;3;100;118;47b3054ad0
63856405147021;619387;3;100;133;47b3054ad0
63856405147434;619811;3;100;136;47b3054ad0
63856405149822;622264;3;100;111;47b3054ad0
63856405151987;624337;3;100;93;47b3054ad0
63856405153493;625857;3;100;81;47b3054ad0
63856405155089;627500;3;100;71;47b3054ad0
63856405155661;628093;3;100;78;47b3054ad0
63856405156885;629320;3;100;72;47b3054ad0
63856405158222;630630;3;100;66;47b3054ad0
63856405159021;631383;3;100;69;47b3054ad0
63856405160620;632996;3;100;62;47b3054ad0
63856405162953;635349;3;100;54;47b3054ad0
63856405163559;635962;3;100;64;47b3054ad0
63856405164053;636459;3;100;77;47b3054ad0
63856405165636;638036;3;100;69;47b3054ad0
63856405165953;638362;3;100;95;47b3054ad0
63856405166769;639132;3;100;91;47b3054ad0
63856405167153;639585;3;100;101;47b3054ad0
63856405168402;640778;3;100;90;47b3054ad0
63856405168986;641412;3;100;91;47b3054ad0
63856405169570;641992;3;100;94;47b3054ad0
63856405170153;642555;3;100;97;47b3054ad0
63856405170686;643012;3;100;105;47b3054ad0
63856405171586;643978;3;100;96;47b3054ad0
63856405172316;644688;3;100;94;47b3054ad0
63856405172920;645301;3;100;95;47b3054ad0
63856405173536;645901;3;100;96;47b3054ad0
63856405174460;646898;3;100;88;47b3054ad0
