Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63857178215595;391909;0;100;0,339027;70f1b2e31f
63857178215795;392510;0;100;0,036191;70f1b2e31f
63857178753851;930522;7;100;0,012492;70f1b2e31f
63857178758835;935455;7;100;0,01227;70f1b2e31f
63857178765971;942588;7;100;0,002422;70f1b2e31f
63857178770231;946921;7;100;0,002388;70f1b2e31f
63857178774119;950854;7;100;0,016759;70f1b2e31f
63857178858367;1034646;8;100;0,108215;70f1b2e31f
63857178861567;1038111;8;100;0,009072;70f1b2e31f
63857178899299;1076041;8;100;0,004067;70f1b2e31f
63857178910465;1087107;8;100;0,018735;70f1b2e31f
63857178922266;1098639;-8;100;0,079054;70f1b2e31f
