Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856561624885;455413;0;100;0,034775;9bc69d3da4
63856561657381;487677;0;100;0,119179;9bc69d3da4
63856561669712;500276;0;100;0,052458;9bc69d3da4
63856561670220;500876;0;100;0,012781;9bc69d3da4
63856561670741;501342;0;100;0,005221;9bc69d3da4
63856561671350;501876;0;100;0,032523;9bc69d3da4
63856561671673;502343;0;100;0,016794;9bc69d3da4
63856561680385;510541;0;100;0,186478;9bc69d3da4
63856561706842;537206;1;100;0,121703;9bc69d3da4
63856561737902;544605;1;100;0,029406;9bc69d3da4
63856561737913;547871;1;100;0,197181;9bc69d3da4
63856561737925;552538;1;100;0,031902;9bc69d3da4
63856561737938;556536;1;100;0,032048;9bc69d3da4
63856561737958;562537;1;100;0,098858;9bc69d3da4
63856561955079;568869;4;100;0,152239;9bc69d3da4
63856561955099;575268;4;100;0,302971;9bc69d3da4
63856561955122;583200;4;100;0,069225;9bc69d3da4
63856561955154;593800;4;100;0,077141;9bc69d3da4
63856561955204;610331;4;100;0,207463;9bc69d3da4
63856561955209;612198;4;100;0,054038;9bc69d3da4
63856561955264;630596;4;100;0,10195;9bc69d3da4
63856561955281;635995;4;100;0,22506;9bc69d3da4
63856561955312;646594;4;100;0,044971;9bc69d3da4
63856561955425;685324;4;100;0,09052;9bc69d3da4
63856561955426;685790;4;100;0,068819;9bc69d3da4
63856561955458;696656;4;100;0,057236;9bc69d3da4
63856561955478;703389;4;100;0,104153;9bc69d3da4
63856561955486;706255;4;100;0,017442;9bc69d3da4
63856561955552;728053;4;100;0,033144;9bc69d3da4
63856561955569;733919;4;100;0,025393;9bc69d3da4
63856561955598;743251;4;100;0,042283;9bc69d3da4
63856561955629;753917;4;100;0,088182;9bc69d3da4
63856561955631;754450;4;100;0,082955;9bc69d3da4
63856561955673;768782;4;100;0,132625;9bc69d3da4
63856561955689;773915;4;100;0,346766;9bc69d3da4
63856561955713;782447;4;100;0,021087;9bc69d3da4
63856561955720;784580;4;100;0,052928;9bc69d3da4
63856562183001;790513;6;100;0,3318;9bc69d3da4
63856562183034;801779;6;100;0,106905;9bc69d3da4
63856562183050;806978;6;100;0,207961;9bc69d3da4
63856562183090;820977;6;100;0,172654;9bc69d3da4
63856562183092;821843;6;100;0,038436;9bc69d3da4
63856562183093;822043;6;100;0,123917;9bc69d3da4
63856562183112;828110;6;100;0,061322;9bc69d3da4
63856562183141;837642;6;100;0,227473;9bc69d3da4
63856562183186;852641;6;100;0,089757;9bc69d3da4
63856562183201;857307;6;100;0,232216;9bc69d3da4
63856562183203;858306;6;100;0,021809;9bc69d3da4
63856562183205;858640;6;100;0,321368;9bc69d3da4
63856562183223;865440;6;100;0,039648;9bc69d3da4
63856562183228;867173;6;100;0,039524;9bc69d3da4
63856562183249;873905;6;100;0,219609;9bc69d3da4
63856562183271;881505;6;100;0,002889;9bc69d3da4
63856562183273;882037;6;100;0,032928;9bc69d3da4
63856562183274;882237;6;100;0,1097;9bc69d3da4
63856562183276;883437;6;100;0,029835;9bc69d3da4
63856562183279;883637;6;100;0,179593;9bc69d3da4
63856562183286;886303;6;100;0,161355;9bc69d3da4
63856562183299;890704;6;100;0,027821;9bc69d3da4
63856562183305;892436;6;100;0,192676;9bc69d3da4
63856562183324;899102;6;100;0,29566;9bc69d3da4
63856562183359;909968;6;100;0,457092;9bc69d3da4
63856562183378;917100;6;100;0,064755;9bc69d3da4
63856562183416;929300;6;100;0,03005;9bc69d3da4
63856562183417;929633;6;100;0,017129;9bc69d3da4
63856562183429;933299;6;100;0,271011;9bc69d3da4
63856562183454;941499;6;100;0,254093;9bc69d3da4
63856562183469;946431;6;100;0,014226;9bc69d3da4
63856562183491;953363;6;100;0,034916;9bc69d3da4
63856562183513;960696;6;100;0,051174;9bc69d3da4
63856562183541;969229;6;100;0,227262;9bc69d3da4
63856562183544;970229;6;100;0,351942;9bc69d3da4
63856562183553;973362;6;100;0,187411;9bc69d3da4
63856562183604;990560;6;100;0,065959;9bc69d3da4
63856562183610;992426;6;100;0,107272;9bc69d3da4
63856562183642;1003426;6;100;0,030963;9bc69d3da4
63856562183667;1011758;6;100;0,095118;9bc69d3da4
63856562183670;1012558;6;100;0,210798;9bc69d3da4
