Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857176311757;327658;0;100;1,266667;5546a2f355
63857176317073;333791;0;100;0,466667;5546a2f355
63857176322623;339457;0;100;0,4;5546a2f355
63857176323840;340857;0;100;0,133333;5546a2f355
63857176328423;345123;0;100;0,533333;5546a2f355
63857176334490;351055;0;100;0,666667;5546a2f355
63857176339357;356122;0;100;0,4;5546a2f355
63857176343906;360722;0;100;0,333333;5546a2f355
63857176347890;364454;0;100;0,666667;5546a2f355
63857176353156;369920;0;100;0,466667;5546a2f355
63857176360506;377320;0;100;0,4;5546a2f355
63857176366223;383186;0;100;0,266667;5546a2f355
63857176372406;389185;0;100;0,466667;5546a2f355
63857176391306;408050;0;100;0,466667;5546a2f355
63857176392722;409783;0;100;0,133333;5546a2f355
63857176407572;424648;0;100;0,066667;5546a2f355
63857176429705;446513;1;100;0,4;5546a2f355
63857176430605;447446;1;100;0,333333;5546a2f355
63857176432654;449379;1;100;0,4;5546a2f355
63857176440121;456978;1;100;0,333333;5546a2f355
63857176446887;463644;1;100;0,466667;5546a2f355
63857176455521;472444;1;100;0,266667;5546a2f355
63857176462021;478643;-1;100;0,533333;5546a2f355
63857176478488;495574;2;100;0,133333;5546a2f355
63857176488887;505973;2;100;0,133333;5546a2f355
63857176493921;510773;2;100;0,333333;5546a2f355
63857176515254;531837;2;100;0,6;5546a2f355
63857176521520;538170;2;100;0,533333;5546a2f355
63857176531162;547969;2;100;0,4;5546a2f355
63857176531986;548903;2;100;0,266667;5546a2f355
63857176547219;564101;-2;100;0,333333;5546a2f355
63857176565056;582099;3;100;0,2;5546a2f355
63857176569319;586299;3;100;0,2;5546a2f355
63857176580190;597231;3;100;0,133333;5546a2f355
63857176593557;610630;3;100;0,133333;5546a2f355
63857176595194;612096;3;100;0,333333;5546a2f355
63857176599982;616962;-3;100;0,2;5546a2f355
63857176631913;648826;4;100;0,333333;5546a2f355
63857176637549;654425;4;100;0,333333;5546a2f355
63857176645998;662891;4;100;0,333333;5546a2f355
63857176652600;669224;4;100;0,533333;5546a2f355
63857176652913;669890;4;100;0,2;5546a2f355
63857176678721;695421;5;100;0,533333;5546a2f355
63857176689396;706153;5;100;0,4;5546a2f355
63857176692988;710153;5;100;0,066667;5546a2f355
63857176695383;712420;5;100;0,2;5546a2f355
63857176695996;713020;5;100;0,133333;5546a2f355
63857176708498;725151;5;100;0,533333;5546a2f355
63857176709732;726618;5;100;0,266667;5546a2f355
63857176718764;735750;5;100;0,2;5546a2f355
63857176733733;750683;5;100;0,266667;5546a2f355
63857176740815;757681;5;100;0,333333;5546a2f355
63857176767148;783879;6;100;0,466667;5546a2f355
63857176781791;798877;6;100;0,133333;5546a2f355
63857176793216;809944;6;100;0,466667;5546a2f355
63857176796979;814010;6;100;0,2;5546a2f355
63857176812726;829542;6;100;0,333333;5546a2f355
63857176824331;841006;6;100;0,533333;5546a2f355
63857176841095;858005;7;100;0,333333;5546a2f355
63857176841295;858471;7;100;0,066667;5546a2f355
63857176857697;874870;7;100;0,066667;5546a2f355
63857176857893;875070;7;100;0,066667;5546a2f355
63857176892221;909000;7;100;0,466667;5546a2f355
63857176901694;918265;7;100;0,6;5546a2f355
63857176924112;941063;8;100;0,266667;5546a2f355
63857176943270;959928;8;100;0,533333;5546a2f355
63857176948528;965394;8;100;0,333333;5546a2f355
63857176955939;972793;8;100;0,4;5546a2f355
63857176965502;981992;8;100;0,666667;5546a2f355
63857176965697;982792;8;100;0,066667;5546a2f355
63857176970737;987459;8;100;0,466667;5546a2f355
