Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63857176299957;317107;0;100;94;5546a2f355
63857176300341;317650;0;100;98;5546a2f355
63857176300657;317887;0;100;134;5546a2f355
63857176301757;318987;0;100;116;5546a2f355
63857176303524;320757;0;100;98;5546a2f355
63857176304124;321350;0;100;99;5546a2f355
63857176304924;322133;0;100;94;5546a2f355
63857176307823;325109;0;100;78;5546a2f355
63857176308157;325433;0;100;102;5546a2f355
63857176308940;326176;0;100;98;5546a2f355
63857176311557;328786;0;100;81;5546a2f355
63857176312157;329429;0;100;84;5546a2f355
63857176312557;329812;0;100;101;5546a2f355
63857176313107;330359;0;100;103;5546a2f355
63857176313491;330759;0;100;113;5546a2f355
63857176313807;331055;0;100;134;5546a2f355
63857176315757;332982;0;100;111;5546a2f355
63857176316607;333845;0;100;102;5546a2f355
63857176317773;335068;0;100;91;5546a2f355
63857176319723;336992;0;100;77;5546a2f355
63857176320140;337412;0;100;92;5546a2f355
63857176321190;338428;0;100;85;5546a2f355
63857176321623;338811;0;100;101;5546a2f355
63857176322623;339835;0;100;92;5546a2f355
63857176323023;340288;0;100;101;5546a2f355
63857176325473;342698;0;100;84;5546a2f355
63857176326357;343608;0;100;80;5546a2f355
63857176327956;345284;0;100;71;5546a2f355
63857176328323;345621;0;100;95;5546a2f355
63857176329757;347057;0;100;84;5546a2f355
63857176331156;348447;0;100;75;5546a2f355
63857176331757;349030;0;100;81;5546a2f355
63857176334690;351997;0;100;68;5546a2f355
63857176335623;352833;0;100;69;5546a2f355
63857176337606;354883;0;100;60;5546a2f355
63857176338223;355493;0;100;69;5546a2f355
63857176340256;357546;0;100;60;5546a2f355
63857176342157;359439;0;100;54;5546a2f355
63857176343989;361296;0;100;49;5546a2f355
63857176345106;362356;0;100;51;5546a2f355
63857176345823;363062;0;100;59;5546a2f355
63857176346290;363569;0;100;72;5546a2f355
63857176347090;364352;0;100;74;5546a2f355
63857176347490;364792;0;100;88;5546a2f355
63857176349123;366359;0;100;77;5546a2f355
63857176349623;366885;0;100;85;5546a2f355
63857176351406;368722;0;100;74;5546a2f355
63857176352656;369922;0;100;69;5546a2f355
63857176353356;370668;0;100;71;5546a2f355
63857176353889;371135;0;100;85;5546a2f355
63857176354489;371689;0;100;90;5546a2f355
63857176354873;372171;0;100;98;5546a2f355
63857176356423;373625;0;100;86;5546a2f355
63857176357323;374561;0;100;81;5546a2f355
63857176358172;375408;0;100;79;5546a2f355
63857176359189;376431;0;100;75;5546a2f355
63857176360006;377218;0;100;75;5546a2f355
63857176360789;378047;0;100;75;5546a2f355
63857176363273;380497;0;100;64;5546a2f355
63857176364207;381417;0;100;64;5546a2f355
63857176365223;382450;0;100;63;5546a2f355
63857176365922;383197;0;100;67;5546a2f355
63857176366722;383940;0;100;70;5546a2f355
63857176367122;384353;0;100;88;5546a2f355
63857176367939;385173;0;100;85;5546a2f355
63857176370456;387760;0;100;71;5546a2f355
63857176372139;389376;0;100;64;5546a2f355
63857176373772;391013;0;100;58;5546a2f355
63857176375589;392839;0;100;52;5546a2f355
63857176377856;395132;0;100;47;5546a2f355
63857176378289;395532;0;100;70;5546a2f355
63857176379489;396749;0;100;66;5546a2f355
63857176379889;397199;0;100;81;5546a2f355
63857176381739;398945;0;100;71;5546a2f355
63857176382405;399672;0;100;74;5546a2f355
63857176383689;400992;0;100;68;5546a2f355
63857176385439;402725;0;100;60;5546a2f355
63857176386456;403728;0;100;60;5546a2f355
63857176387422;404671;0;100;61;5546a2f355
63857176388039;405298;0;100;69;5546a2f355
63857176388556;405845;0;100;79;5546a2f355
63857176389872;407185;0;100;71;5546a2f355
63857176390189;407471;0;100;101;5546a2f355
63857176390805;408031;0;100;103;5546a2f355
63857176391889;409141;0;100;92;5546a2f355
63857176393372;410591;0;100;81;5546a2f355
63857176394772;412007;0;100;73;5546a2f355
63857176395905;413197;0;100;68;5546a2f355
63857176397622;414887;0;100;61;5546a2f355
63857176398422;415710;0;100;64;5546a2f355
63857176399022;416304;0;100;72;5546a2f355
63857176400138;417414;0;100;68;5546a2f355
63857176401155;418397;0;100;67;5546a2f355
63857176401772;419070;0;100;72;5546a2f355
63857176402588;419823;0;100;74;5546a2f355
63857176403088;420360;0;100;83;5546a2f355
63857176403721;420980;0;100;86;5546a2f355
63857176404222;421456;0;100;95;5546a2f355
63857176404505;421813;0;100;112;5546a2f355
63857176405238;422473;0;100;108;5546a2f355
63857176406138;423430;0;100;98;5546a2f355
63857176406455;423686;0;100;129;5546a2f355
63857176407572;424826;0;100;113;5546a2f355
63857176408156;425453;0;100;109;5546a2f355
63857176408672;425959;0;100;111;5546a2f355
63857176409172;426386;0;100;118;5546a2f355
63857176409555;426866;0;100;120;5546a2f355
63857176410188;427489;0;100;115;5546a2f355
63857176410689;427976;0;100;117;5546a2f355
63857176412205;429446;1;100;100;5546a2f355
63857176412721;430036;1;100;101;5546a2f355
63857176413421;430702;1;100;99;5546a2f355
63857176417688;434918;1;100;80;5546a2f355
63857176418238;435515;1;100;85;5546a2f355
63857176419005;436238;1;100;85;5546a2f355
63857176419638;436852;1;100;88;5546a2f355
63857176421505;438738;1;100;75;5546a2f355
63857176422205;439475;1;100;77;5546a2f355
63857176423405;440638;1;100;71;5546a2f355
63857176424188;441481;1;100;72;5546a2f355
63857176425621;442868;1;100;65;5546a2f355
63857176426221;443521;1;100;71;5546a2f355
63857176427254;444524;1;100;69;5546a2f355
63857176428971;446227;1;100;62;5546a2f355
63857176430205;447421;1;100;59;5546a2f355
63857176432321;449604;1;100;52;5546a2f355
63857176433438;450710;1;100;53;5546a2f355
63857176433821;451060;1;100;80;5546a2f355
63857176434571;451840;1;100;80;5546a2f355
63857176435504;452730;1;100;77;5546a2f355
63857176437488;454756;1;100;67;5546a2f355
63857176437904;455130;1;100;88;5546a2f355
63857176438105;455350;1;100;129;5546a2f355
63857176438772;455986;1;100;121;5546a2f355
63857176440288;457556;1;100;103;5546a2f355
63857176443038;460352;1;100;85;5546a2f355
63857176443938;461142;1;100;83;5546a2f355
63857176444554;461756;1;100;87;5546a2f355
63857176445538;462839;1;100;80;5546a2f355
63857176447587;464849;1;100;69;5546a2f355
63857176449421;466645;1;100;61;5546a2f355
63857176450821;468128;1;100;57;5546a2f355
63857176455138;472361;1;100;47;5546a2f355
63857176457154;474438;1;100;43;5546a2f355
63857176457654;474914;1;100;62;5546a2f355
63857176457854;475154;1;100;104;5546a2f355
63857176459837;477074;1;100;88;5546a2f355
63857176460187;477414;1;100;107;5546a2f355
63857176463187;480437;-1;100;88;5546a2f355
63857176464119;481380;-1;100;83;5546a2f355
63857176465602;482877;-1;100;73;5546a2f355
63857176466954;484177;-1;100;67;5546a2f355
63857176468055;485303;-1;100;64;5546a2f355
63857176469221;486537;-1;100;61;5546a2f355
63857176469827;487086;-1;100;72;5546a2f355
63857176470735;488000;-1;100;71;5546a2f355
63857176471893;489133;-1;100;67;5546a2f355
63857176472288;489603;-1;100;81;5546a2f355
63857176473529;490746;-1;100;75;5546a2f355
63857176474121;491349;-1;100;80;5546a2f355
63857176474734;491953;-1;100;85;5546a2f355
63857176475354;492616;-1;100;86;5546a2f355
63857176475955;493209;-1;100;90;5546a2f355
63857176476563;493829;-1;100;92;5546a2f355
63857176477387;494612;2;100;89;5546a2f355
63857176477791;495076;2;100;98;5546a2f355
63857176480950;498242;2;100;80;5546a2f355
63857176482864;500155;2;100;70;5546a2f355
63857176483487;500768;2;100;76;5546a2f355
63857176484298;501582;2;100;76;5546a2f355
63857176484821;502078;2;100;86;5546a2f355
63857176485193;502478;2;100;101;5546a2f355
63857176487454;504668;2;100;85;5546a2f355
63857176488553;505808;2;100;78;5546a2f355
63857176488991;506281;2;100;89;5546a2f355
63857176489548;506818;2;100;94;5546a2f355
63857176490100;507305;2;100;101;5546a2f355
63857176491304;508588;2;100;89;5546a2f355
63857176492426;509678;2;100;82;5546a2f355
63857176493521;510818;2;100;75;5546a2f355
63857176494561;511841;2;100;72;5546a2f355
63857176496460;513674;2;100;63;5546a2f355
63857176497486;514717;2;100;62;5546a2f355
63857176499229;516477;2;100;56;5546a2f355
63857176501136;518380;2;100;51;5546a2f355
63857176503901;521087;2;100;44;5546a2f355
63857176506001;523300;2;100;41;5546a2f355
63857176508336;525643;2;100;37;5546a2f355
63857176508954;526253;2;100;51;5546a2f355
63857176511193;528432;2;100;46;5546a2f355
63857176513120;530346;2;100;43;5546a2f355
63857176514752;532042;2;100;41;5546a2f355
63857176515750;532989;2;100;46;5546a2f355
63857176516261;533485;2;100;63;5546a2f355
63857176517287;534548;2;100;62;5546a2f355
63857176518087;535362;2;100;65;5546a2f355
63857176520233;537495;2;100;57;5546a2f355
63857176523353;540651;2;100;48;5546a2f355
63857176523969;541234;2;100;61;5546a2f355
63857176525685;542914;2;100;56;5546a2f355
63857176526483;543797;2;100;58;5546a2f355
63857176527935;545214;2;100;55;5546a2f355
63857176529337;546601;2;100;53;5546a2f355
63857176530153;547464;2;100;57;5546a2f355
63857176531890;549167;2;100;52;5546a2f355
63857176533220;550437;-2;100;51;5546a2f355
63857176534662;551900;-2;100;49;5546a2f355
63857176535754;553040;-2;100;50;5546a2f355
63857176536952;554216;-2;100;50;5546a2f355
63857176540420;557729;-2;100;43;5546a2f355
63857176543983;561199;-2;100;37;5546a2f355
