Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856399614794;1167527;4;100;0,062149;78ef50aafd
63856399620360;1173194;4;100;0,059645;78ef50aafd
63856399621060;1173793;4;100;0,165215;78ef50aafd
63856399623358;1176126;4;100;0,025943;78ef50aafd
63856399623559;1176393;4;100;0,082019;78ef50aafd
63856399633857;1186659;4;100;0,00474;78ef50aafd
63856399634159;1187125;4;100;0,021658;78ef50aafd
63856399638459;1191258;4;100;0,009591;78ef50aafd
63856399646759;1199591;4;100;0,048048;78ef50aafd
63856399705792;1258718;5;100;0,00187;78ef50aafd
63856399706192;1258918;5;100;0,031941;78ef50aafd
63856399710259;1263184;5;100;0,016382;78ef50aafd
63856399710658;1263450;5;100;0,025784;78ef50aafd
63856399719374;1272184;5;100;0,028238;78ef50aafd
63856399732358;1285048;5;100;0,047981;78ef50aafd
63856399732658;1285582;5;100;0,036303;78ef50aafd
63856399732891;1285848;5;100;0,01163;78ef50aafd
63856399737157;1289982;5;100;0,005955;78ef50aafd
63856399747824;1300713;5;100;0,005811;78ef50aafd
63856399764890;1317845;5;100;0,005517;78ef50aafd
63856399770257;1322979;5;100;0,058236;78ef50aafd
63856399770990;1323845;5;100;0,042238;78ef50aafd
63856399771289;1324112;5;100;0,032477;78ef50aafd
63856399771890;1324644;5;100;0,328524;78ef50aafd
63856399772390;1325311;5;100;0,098007;78ef50aafd
63856399774623;1327378;5;100;0,057244;78ef50aafd
63856399775073;1327978;5;100;0,031003;78ef50aafd
63856399780323;1333110;5;100;0,055927;78ef50aafd
63856399780823;1333710;5;100;0,043055;78ef50aafd
63856399807158;1359975;6;100;0,007606;78ef50aafd
63856399815622;1368307;6;100;0,176096;78ef50aafd
63856399816023;1368907;6;100;0,02002;78ef50aafd
63856399823656;1376373;6;100;0,058545;78ef50aafd
63856399833339;1386172;6;100;0,035807;78ef50aafd
63856399841456;1394237;6;100;0,053071;78ef50aafd
63856399846822;1399504;6;100;0,107318;78ef50aafd
63856399859522;1412169;6;100;0,062036;78ef50aafd
63856399861255;1413969;6;100;0,0595;78ef50aafd
63856399861558;1414369;6;100;0,060026;78ef50aafd
63856399862155;1415103;6;100;0,006335;78ef50aafd
63856399872122;1424968;6;100;0,017003;78ef50aafd
63856399891671;1444566;6;100;0,02011;78ef50aafd
63856399891871;1444832;6;100;0,020284;78ef50aafd
63856399892888;1445766;6;100;0,012691;78ef50aafd
63856399932404;1484962;7;100;0,078826;78ef50aafd
63856399937687;1490494;7;100;0,038341;78ef50aafd
63856399946437;1499027;7;100;0,149121;78ef50aafd
63856399961170;1513759;7;100;0,035665;78ef50aafd
63856399970586;1523358;7;100;0,009596;78ef50aafd
63856399988319;1541157;7;100;0,007901;78ef50aafd
63856400009002;1561821;7;100;0,045338;78ef50aafd
63856400010019;1562621;7;100;0,209615;78ef50aafd
63856400012935;1565620;7;100;0,045242;78ef50aafd
63856400020636;1573086;-7;100;0,120932;78ef50aafd
63856400040001;1592951;8;100;0,013229;78ef50aafd
63856400040585;1593151;8;100;0,051247;78ef50aafd
63856400041002;1593884;8;100;0,015811;78ef50aafd
63856400055401;1608149;8;100;0,006663;78ef50aafd
63856400056334;1609149;8;100;0,03507;78ef50aafd
63856400064934;1617882;8;100;0,00144;78ef50aafd
63856400071784;1624681;8;100;0,004462;78ef50aafd
63856400081667;1634347;8;100;0,050317;78ef50aafd
63856400090334;1643013;8;100;0,026011;78ef50aafd
63856400112267;1665010;8;100;0,047259;78ef50aafd
63856400113167;1666144;8;100;0,013461;78ef50aafd
63856400121534;1673943;8;100;0,141635;78ef50aafd
63856400121717;1674676;8;100;0,031998;78ef50aafd
63856400126583;1679410;8;100;0,007279;78ef50aafd
63856400136150;1688808;8;100;0,053522;78ef50aafd
63856400136467;1689275;8;100;0,035058;78ef50aafd
63856400149967;1702340;8;100;0,080045;78ef50aafd
63856400150149;1703073;8;100;0,002915;78ef50aafd
63856400180966;1733871;8;100;0,001326;78ef50aafd
63856400185216;1737803;8;100;0,042801;78ef50aafd
63856400189799;1742469;8;100;0,007834;78ef50aafd
63856400191399;1743937;8;100;0,068428;78ef50aafd
63856400197415;1749802;8;100;0,088872;78ef50aafd
63856400200765;1753669;-8;100;0,001338;78ef50aafd
63856400200965;1753935;-8;100;0,016042;78ef50aafd
63856400201265;1754135;-8;100;0,018817;78ef50aafd
63856400204932;1757601;-8;100;0,050884;78ef50aafd
