Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856055844456;531858;0;100;0,087151;44fe85427e
63856055852389;540258;0;100;0,009585;44fe85427e
63856055853090;541058;0;100;0,002451;44fe85427e
63856055853286;541258;0;100;0,008218;44fe85427e
63856055857220;545191;0;100;0,00612;44fe85427e
63856055859454;547190;0;100;0,021463;44fe85427e
63856055869856;557523;0;100;0,046605;44fe85427e
63856055876954;564922;0;100;0,016244;44fe85427e
63856055885713;573520;0;100;0,018643;44fe85427e
63856055885915;573920;0;100;0,005907;44fe85427e
63856055886411;574120;0;100;0,056786;44fe85427e
63856055889032;576921;0;100;0,022169;44fe85427e
63856055901835;588852;0;100;0,263771;44fe85427e
63856055902419;590319;0;100;0,025012;44fe85427e
63856055902853;590586;0;100;0,098069;44fe85427e
63856055910586;598452;0;100;0,011845;44fe85427e
63856055911086;598852;0;100;0,04865;44fe85427e
63856055911286;599252;0;100;0,007428;44fe85427e
63856055940197;627715;0;100;0,335874;44fe85427e
63856055940578;628382;0;100;0,107806;44fe85427e
63856055967535;655513;1;100;0,037383;44fe85427e
63856055968052;655979;1;100;0,030855;44fe85427e
