Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63844814874303;4505325;0;100;1;ebbdb53346
63844814875003;4506658;0;100;0,4;ebbdb53346
63844814875303;4507191;0;100;0,2;ebbdb53346
63844814877303;4508857;0;100;0,066667;ebbdb53346
63844814884036;4515191;0;100;0,866667;ebbdb53346
63844814890103;4521324;0;100;0,8;ebbdb53346
63844814896953;4528122;0;100;0,8;ebbdb53346
63844814897137;4529056;0;100;0,066667;ebbdb53346
63844814899753;4531389;0;100;0,4;ebbdb53346
63844814902070;4533722;0;100;0,333333;ebbdb53346
63844814902386;4534322;0;100;0,066667;ebbdb53346
63844814904487;4536188;0;100;0,333333;ebbdb53346
63844814904970;4536921;0;100;0,133333;ebbdb53346
63844814906420;4537988;0;100;0,466667;ebbdb53346
63844814906753;4538721;0;100;0,066667;ebbdb53346
63844814908887;4539988;0;100;0,933333;ebbdb53346
63844814909119;4541055;0;100;0,066667;ebbdb53346
63844814909286;4541254;0;100;0,066667;ebbdb53346
63844814909519;4541455;0;100;0,066667;ebbdb53346
63844814910153;4541788;0;100;0,333333;ebbdb53346
63844814911520;4543054;0;100;0,466667;ebbdb53346
63844814913453;4544988;0;100;0,066667;ebbdb53346
63844814917453;4549453;0;100;0,066667;ebbdb53346
63844814918187;4549653;0;100;0,333333;ebbdb53346
63844814918353;4550253;0;100;0,133333;ebbdb53346
63844814919353;4551187;0;100;0,2;ebbdb53346
63844814919752;4551521;0;100;0,266667;ebbdb53346
63844814920753;4552586;0;100;0,2;ebbdb53346
63844814925352;4555853;0;100;1,2;ebbdb53346
63844814938753;4570518;1;100;0,266667;ebbdb53346
63844814940152;4571051;1;100;1,066667;ebbdb53346
63844814940452;4572251;1;100;0,2;ebbdb53346
63844814940853;4572851;1;100;0,066667;ebbdb53346
63844814941352;4573318;1;100;0,066667;ebbdb53346
63844814942186;4573918;1;100;0,2;ebbdb53346
63844814943186;4574252;1;100;0,866667;ebbdb53346
63844814944586;4575251;1;100;0,933333;ebbdb53346
63844814945852;4577118;1;100;0,733333;ebbdb53346
63844814950319;4581317;1;100;1,066667;ebbdb53346
63844814952819;4584517;1;100;0,266667;ebbdb53346
63844814960818;4592650;1;100;0,2;ebbdb53346
63844814962652;4594383;1;100;0,266667;ebbdb53346
63844814964252;4595849;1;100;0,4;ebbdb53346
63844814964585;4596515;1;100;0,066667;ebbdb53346
63844814965085;4596715;1;100;0,4;ebbdb53346
63844814966219;4597383;1;100;0,466667;ebbdb53346
63844814967785;4599382;1;100;0,4;ebbdb53346
63844814968252;4599915;1;100;0,266667;ebbdb53346
63844814969618;4601249;1;100;0,333333;ebbdb53346
63844814971019;4602648;1;100;0,266667;ebbdb53346
63844814971519;4603048;1;100;0,466667;ebbdb53346
63844814976452;4607914;1;100;0,533333;ebbdb53346
63844814985752;4617313;1;100;0,4;ebbdb53346
63844814987852;4619246;1;100;0,4;ebbdb53346
63844814995151;4626646;1;100;0,2;ebbdb53346
63844814996185;4627446;1;100;0,8;ebbdb53346
63844814997685;4628779;1;100;0,866667;ebbdb53346
63844815001351;4632445;1;100;0,933333;ebbdb53346
63844815002584;4633912;1;100;0,666667;ebbdb53346
63844815002885;4634846;1;100;0,066667;ebbdb53346
63844815003484;4635178;1;100;0,333333;ebbdb53346
63844815005852;4637578;1;100;0,266667;ebbdb53346
63844815013218;4644977;1;100;0,2;ebbdb53346
63844815013584;4645444;1;100;0,133333;ebbdb53346
63844815015318;4645710;1;100;1,533333;ebbdb53346
63844815015685;4647378;1;100;0,266667;ebbdb53346
63844815017751;4649511;1;100;0,266667;ebbdb53346
63844815022284;4653976;-1;100;0,333333;ebbdb53346
63844815022684;4654444;-1;100;0,266667;ebbdb53346
63844815022984;4654976;-1;100;0,066667;ebbdb53346
63844815024317;4655777;-1;100;0,533333;ebbdb53346
63844815027250;4658709;-1;100;0,466667;ebbdb53346
63844815027984;4659709;-1;100;0,266667;ebbdb53346
63844815033818;4665375;-1;100;0,4;ebbdb53346
63844815036251;4667642;2;100;0,6;ebbdb53346
63844815039284;4670775;2;100;0,533333;ebbdb53346
63844815041117;4672575;2;100;0,533333;ebbdb53346
63844815045783;4677641;2;100;0,2;ebbdb53346
63844815046251;4678107;2;100;0,133333;ebbdb53346
63844815048717;4680174;2;100;0,6;ebbdb53346
63844815049350;4681308;2;100;0,066667;ebbdb53346
63844815055850;4687573;2;100;0,333333;ebbdb53346
63844815061917;4693706;2;100;0,266667;ebbdb53346
63844815066550;4698239;2;100;0,333333;ebbdb53346
63844815067250;4698706;2;100;0,2;ebbdb53346
63844815067550;4699439;2;100;0,2;ebbdb53346
63844815069950;4701705;2;100;0,266667;ebbdb53346
63844815070784;4702505;2;100;0,333333;ebbdb53346
63844815071184;4702971;2;100;0,2;ebbdb53346
63844815071383;4703305;2;100;0,133333;ebbdb53346
63844815072017;4703839;2;100;0,066667;ebbdb53346
63844815073117;4705038;2;100;0,066667;ebbdb53346
63844815075983;4707504;2;100;0,466667;ebbdb53346
63844815081717;4713371;2;100;0,333333;ebbdb53346
63844815081916;4713837;2;100;0,066667;ebbdb53346
63844815083450;4714704;2;100;0,8;ebbdb53346
63844815083950;4715770;2;100;0,133333;ebbdb53346
63844815086750;4718703;2;100;0,066667;ebbdb53346
63844815088216;4719236;2;100;1;ebbdb53346
63844815089050;4720636;2;100;0,4;ebbdb53346
63844815093116;4724370;2;100;0,8;ebbdb53346
63844815093850;4725436;2;100;0,4;ebbdb53346
63844815095150;4727036;2;100;0,133333;ebbdb53346
63844815101349;4733235;2;100;0,133333;ebbdb53346
63844815105583;4737035;2;100;0,466667;ebbdb53346
63844815106950;4738434;2;100;0,533333;ebbdb53346
